plant_species,plant_accepted_name,plant_family
Werauhia nutans,Werauhia nutans (L.B.Sm.) J.R.Grant,Bromeliaceae
Incarvillea mairei,Incarvillea mairei (H.Lév.) Grierson,Bignoniaceae
Fragaria × ananassa,Fragaria L.,Rosaceae
Sesamum radiatum,Sesamum radiatum Thonn. ex Hornem.,Pedaliaceae
Vigna luteola,Vigna luteola (Jacq.) Benth.,Fabaceae
Solanum lycopersicum,Solanum lycopersicum L.,Solanaceae
Astrocaryum mexicanum,Astrocaryum mexicanum Liebm. ex Mart.,Arecaceae
Tillandsia heterophylla,Tillandsia heterophylla É.Morren,Bromeliaceae
Matisia cordata,Matisia cordata Bonpl.,Malvaceae
Oenocarpus bataua,Oenocarpus bataua Mart.,Arecaceae
Oenocarpus mapora,Oenocarpus mapora H.Karst.,Arecaceae
Lecythis lurida,Lecythis lurida (Miers) S.A.Mori,Lecythidaceae
Oeceoclades maculata,Oeceoclades maculata (Lindl.) Lindl.,Orchidaceae
Byrsonima sericea,Byrsonima sericea DC.,Malpighiaceae
Byrsonima cydoniifolia,Byrsonima cydoniifolia A.Juss.,Malpighiaceae
Bowdichia virgilioides,Bowdichia virgilioides Kunth,Fabaceae
Centrosema coriaceum,Centrosema coriaceum Benth.,Fabaceae
Angelonia salicariifolia,Angelonia salicariifolia Bonpl.,Plantaginaceae
Monopera perennis,Monopera perennis (Chodat & Hassl.) Barringer,Plantaginaceae
Angelonia cornigera,Angelonia cornigera Hook.,Plantaginaceae
Alstroemeria gardneri,Alstroemeria gardneri Baker,Alstroemeriaceae
Opuntia anacantha var. retrorsa,Opuntia anacantha var. retrorsa (Speg.) R.Kiesling,Cactaceae
Opuntia elata var. elata,Opuntia elata var. elata ,Cactaceae
Centaurea solstitialis,Centaurea solstitialis L.,Asteraceae
Dudleya greenei,Dudleya greenei Rose,Crassulaceae
Seseli ghafoorianum,Seseli ghafoorianum (Akhani) Pimenov & Kljuykov,Apiaceae
Justicia squarrosa,Justicia squarrosa Griseb.,Acanthaceae
Acacia atramentaria,Acacia atramentaria Benth.,Fabaceae
Tristerix corymbosus,Tristerix corymbosus (L.) Kuijt,Loranthaceae
Alstroemeria aurea,Alstroemeria aurea Graham,Alstroemeriaceae
Mantisalca salamantica,Mantisalca salmantica (L.) Briq. & Cavill.,Asteraceae
Dudleya lanceolata,Dudleya lanceolata (Nutt.) Britton & Rose,Crassulaceae
Dudleya candelabrum,Dudleya candelabrum Rose,Crassulaceae
Vicia villosa spp. dasycarpa,Vicia villosa Roth,Fabaceae
Dracocephalum moldavica,Dracocephalum moldavica L.,Lamiaceae
Brassica campestris var. toria,Brassica campestris var. toria Duthie & Fuller,Brassicaceae
Grewia asiatica,Grewia asiatica L.,Malvaceae
Yucca whipplei,Yucca whipplei Torr.,Asparagaceae
Salvia majdae,Salvia majdae (Rech.f. & Wendelbo) Sytsma,Lamiaceae
Oenocarpus balickii,Oenocarpus balickii F.Kahn,Arecaceae
Oenocarpus minor,Oenocarpus minor Mart.,Arecaceae
Sarcoglottis acaulis,Sarcoglottis acaulis (Sm.) Schltr.,Orchidaceae
Arum italicum,Arum italicum Mill.,Araceae
Cakile edentula,Cakile edentula (Bigelow) Hook.,Brassicaceae
Dalechampia scandens,Dalechampia scandens Kurz,Euphorbiaceae
Stigmaphyllon bonariense,Stigmaphyllon bonariense (Hook. & Arn.) C.E.Anderson,Malpighiaceae
Stigmaphyllon jatrophifolium,Stigmaphyllon jatrophifolium A.Juss.,Malpighiaceae
Vaccinium myrtillus,Vaccinium myrtillus L.,Ericaceae
Koelreuteria elegans subsp. formosana,Koelreuteria elegans subsp. formosana (Hayata) F.G.Mey.,Sapindaceae
Bakerella hoyifolia subsp. bojeri,Bakerella hoyifolia subsp. bojeri (Baker) Balle,NA
Furcraea parmentieri,Furcraea parmentieri (Roezl) García-Mend.,Asparagaceae
Datura wrightii,Datura wrightii Regel,Solanaceae
Agave palmeri,Agave palmeri Engelm.,Asparagaceae
Erodium maritimum,Erodium maritimum L'Hér. ex Aiton,Geraniaceae
Desmodium incanum,Desmodium incanum (Sw.) DC.,Fabaceae
Desmodium subsericeum,Desmodium subsericeum Malme,Fabaceae
Desmodium uncinatum,Desmodium uncinatum (Jacq.) DC.,Fabaceae
Phaseolus coccineus,Phaseolus coccineus L.,Fabaceae
Pilosocereus pentaedrophorus subsp. pentaedrophorus,Pilosocereus pentaedrophorus subsp. pentaedrophorus ,Cactaceae
Pilosocereus catimbauensis,Pilosocereus catimbauensis (N.P.Taylor & Albuq.-Lima) N.P.Taylor & Albuq.-Lima,Cactaceae
Coleocephalocereus goebelianus,Coleocephalocereus goebelianus (Vaupel) Buining,Cactaceae
Micranthocereus purpureus,Micranthocereus purpureus (Gürke) F.Ritter,Cactaceae
Stephanocereus luetzelburgii,Stephanocereus luetzelburgii (Vaupel) N.P.Taylor & Eggli,Cactaceae
Pilosocereus pachycladus subsp. pachycladus,Pilosocereus pachycladus subsp. pachycladus ,Cactaceae
Pilosocereus glaucochrous,Pilosocereus glaucochrous (Werderm.) Blyles & G.D.Rowley,Cactaceae
Pilosocereus catingicola subsp. salvadorensis,Pilosocereus catingicola subsp. salvadorensis (Werderm.) Zappi,Cactaceae
Pilosocereus pentaedrophorus subsp. robustus,Pilosocereus pentaedrophorus subsp. robustus Zappi,Cactaceae
Stephanocereus leucostele,Stephanocereus leucostele (Gürke) A.Berger,Cactaceae
Xiquexique gounellei,Xiquexique gounellei (F.A.C.Weber) Lavor & Calvente,Cactaceae
Xiquexique ×heptagonus,"Xiquexique Lavor, Calvente & Versieux",Cactaceae
Xiquexique tuberculatus,Xiquexique tuberculatus (Werderm.) Lavor & Calvente,Cactaceae
Leocereus bahiensis,Leocereus bahiensis Britton & Rose,Cactaceae
Ipomopsis aggregata,Ipomopsis aggregata (Pursh) V.E.Grant,Polemoniaceae
Ipomopsis tenuituba,Ipomopsis tenuituba (Rydb.) V.E.Grant,Polemoniaceae
Cereus jamacaru,Cereus jamacaru DC.,Cactaceae
Griffinia gardneriana,Griffinia gardneriana (Herb.) Ravenna,Amaryllidaceae
Bauhinia acuruana,Bauhinia acuruana Moric.,Fabaceae
Bauhinia pentandra,Bauhinia pentandra (Bong.) Vogel ex D.Dietr.,Fabaceae
Xiquexique × heptagonus,"Xiquexique Lavor, Calvente & Versieux",Cactaceae
Abelmoschus esculentus,Abelmoschus esculentus Moench,Malvaceae
Luffa acutangula,Luffa acutangula Roxb.,Cucurbitaceae
Cucurbita pepo,Cucurbita pepo L.,Cucurbitaceae
