plant_species,plant_accepted_name,plant_family
Hymenaea oblongifolia var. latifolia,Hymenaea oblongifolia var. latifolia Y.T.Lee & Langenh.,Fabaceae
Senna cana,Senna cana (Nees & Mart.) H.S.Irwin & Barneby,Fabaceae
Stenostephanus lobeliiformis,Stenostephanus lobeliiformis Nees,Acanthaceae
Besleria melancholica,Besleria melancholica (Vell.) C.V.Morton,Gesneriaceae
Zeyheria tuberculosa,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,Bignoniaceae
Odontarrhena lesbiaca,Odontarrhena lesbiaca P.Candargy,Brassicaceae
Erythrina megistophylla,Erythrina megistophylla Diels,Fabaceae
Mabea occidentalis,Mabea occidentalis Benth.,Euphorbiaceae
Ochroma pyramidale,Ochroma pyramidale (Cav. ex Lam.) Urb.,Malvaceae
Trichanthera gigantea,Trichanthera gigantea (Bonpl.) Nees,Acanthaceae
Ixianthes retzioides,Ixianthes retzioides Benth.,Stilbaceae
Moraea villosa subsp. villosa,Moraea villosa subsp. villosa ,Iridaceae
Moraea tulbaghensis,Moraea tulbaghensis L.Bolus,Iridaceae
Moraea neopavonia,Moraea neopavonia R.C.Foster,Iridaceae
Colpias mollis,Colpias mollis E.Mey. ex Benth.,Scrophulariaceae
Huttonaea fimbriata,Huttonaea fimbriata (Harv.) Rchb.f.,Orchidaceae
Huttonaea pulchra,Huttonaea pulchra Harv.,Orchidaceae
Huttonaea grandiflora,Huttonaea grandiflora (Schltr.) Rolfe,Orchidaceae
Sonneratia alba,Sonneratia alba Sm.,Lythraceae
Ophrys lupercalis,Ophrys lupercalis Devillers-Tersch. & Devillers,Orchidaceae
Ophrys bilunulata,Ophrys bilunulata Risso,Orchidaceae
Psychotria suerrensis,Psychotria suerrensis Donn.Sm.,Rubiaceae
Datura stramonium,Datura stramonium Wall.,Solanaceae
Witheringia solanacea,Witheringia solanacea L'Hér.,Solanaceae
Caladenia patersonii,Caladenia patersonii R.Br.,Orchidaceae
Caladenia huegelii,Caladenia huegelii Rchb.f.,Orchidaceae
Caladenia dilatata,Caladenia dilatata R.Br.,Orchidaceae
Phlox dolichantha,Phlox dolichantha A.Gray,Polemoniaceae
Phlox superba,Phlox superba Brand,Polemoniaceae
Phlox stansburyi,Phlox stansburyi (Torr.) A.Heller,Polemoniaceae
Phlox grayi,Phlox grayi Wooton & Standl.,Polemoniaceae
Habranthus gracilifolius,Habranthus gracilifolius Herb.,Amaryllidaceae
Anemone pavonina,Anemone pavonina Lam.,Ranunculaceae
Prunus serrulata 'Kanzan',Prunus serrulata Lindl.,Rosaceae
Prunus serrulata 'Amanogawa',Prunus serrulata Lindl.,Rosaceae
Pseuduvaria megalopus,Pseuduvaria megalopus (K.Schum.) Y.C.F.Su & Mols,Annonaceae
Campanula vardariana,Campanula vardariana Bocquet,Campanulaceae
Coelogyne flaccida,Coelogyne flaccida Lindl.,Orchidaceae
Coelogyne nitida,Coelogyne nitida Hook.f.,Orchidaceae
Otochilus albus,Otochilus albus Lindl.,Orchidaceae
Carpobrotus edulis,Carpobrotus edulis (L.) N.E.Br.,Aizoaceae
Arisaema urashima,Arisaema urashima H.Hara,Araceae
Epipactis helleborine var. sayekiana,Epipactis helleborine var. sayekiana (Makino) T.Hashim.,Orchidaceae
Epipactis helleborine var. papillosa,Epipactis helleborine var. papillosa (Franch. & Sav.) T.Hashim.,Orchidaceae
Cymbidium macrorhizon,Cymbidium macrorhizon Lindl.,Orchidaceae
Cymbidium aberrans,Cymbidium aberrans (Finet) Schltr.,Orchidaceae
Cymbidium lancifolium,Cymbidium lancifolium Hook.,Orchidaceae
Spiranthes australis,Spiranthes australis (R.Br.) Lindl.,Orchidaceae
Platanthera ussuriensis,Platanthera ussuriensis (Regel) Maxim.,Orchidaceae
Platanthera sachalinensis,Platanthera sachalinensis F.Schmidt,Orchidaceae
Platanthera florentii,Platanthera florentia Franch. & Sav.,Orchidaceae
Cephalanthera falcata,Cephalanthera falcata (Thunb.) Blume,Orchidaceae
Cyrtosia septentrionalis,Cyrtosia septentrionalis (Rchb.f.) Garay,Orchidaceae
Arisaema thunbergii,Arisaema thunbergii Blume,Araceae
Aspidistra elatior,Aspidistra elatior Blume,Asparagaceae
Sedirea japonica,Sedirea japonica (Rchb.f.) Garay & H.R.Sweet,Orchidaceae
Asclepias exaltata x syriaca hybrid,Asclepias exaltata L.,Apocynaceae
Waltheria rotundifolia,Waltheria rotundifolia Schrank,Malvaceae
Drymonia serrulata,Drymonia serrulata Mart.,Gesneriaceae
Diascia lewisiae,Diascia lewisiae K.E.Steiner,Scrophulariaceae
Diascia insignis,Diascia insignis K.E.Steiner,Scrophulariaceae
Catalpa speciosa,Catalpa speciosa (Warder) Engelm.,NA
Berkheya fruticosa,Berkheya fruticosa Ehrh.,Asteraceae
Calanthe discolor × C. striata,Calanthe discolor Lindl.,Orchidaceae
Vanda falcata,Vanda falcata (Thunb.) Beer,Orchidaceae
Cypripedium macranthos var. rebunense,Cypripedium macranthos f. rebunense (Kudô) Ohwi,Orchidaceae
Epipactis thunbergii,Epipactis thunbergii A.Gray,Orchidaceae
Calanthe striata,Calanthe striata Lindl.,Orchidaceae
Arundina graminifolia,Arundina graminifolia (D.Don) Hochr.,Orchidaceae
Castanea crenata,Castanea crenata Siebold & Zucc.,Fagaceae
Schima wallichii ssp. noronhae,Schima wallichii var. noronhae (Reinw. ex Blume) Bloemb.,Theaceae
Metaplexis japonica,Metaplexis japonica (Thunb.) Makino,Apocynaceae
Scaevola sericea,Scaevola sericea Vahl,Goodeniaceae
Rhododendron reticulatum,Rhododendron reticulatum D.Don ex G.Don,Ericaceae
Rhododendron macrosepalum,Rhododendron macrosepalum Maxim.,Ericaceae
Vatica yeechongii,Vatica yeechongii Saw,Dipterocarpaceae
Croton glandulosus,Croton glandulosus Vell.,Euphorbiaceae
Polygala paniculata,Polygala paniculata L.,Polygalaceae
Ageratum sp.,Ageratum L.,Asteraceae
Maerua sp.,Maerua Forssk.,Capparaceae
Oxalis barreliaeri,Oxalis barrelieri L.,Oxalidaceae
Erythroxylum myrsinites,Erythroxylum myrsinites Mart.,Erythroxylaceae
Nyssa yunnanensis,Nyssa yunnanensis W.Q.Yin ex H.N.Qin & Phengklai,Nyssaceae
Changnienia amoena,Changnienia amoena S.S.Chien,Orchidaceae
Ponerorchis chusua,Ponerorchis chusua (D.Don) Soó,Orchidaceae
Galearis diantha,Galearis diantha (Schltr.) P.F.Hunt,Orchidaceae
Davidia involucrata,Davidia involucrata Baill.,Nyssaceae
Vaccinium corymbosum 'Bluecrop',Vaccinium corymbosum L.,Ericaceae
Alpinia mutica,Alpinia mutica Roxb.,Zingiberaceae
Camellia petelotii,Camellia petelotii (Merr.) Sealy,Theaceae
Ixeris chinensis,Ixeris chinensis (Thunb.) Kitag.,Asteraceae
Sonchus arvensis,Sonchus arvensis L.,Asteraceae
Lilium duchartrei,Lilium duchartrei Franch.,Liliaceae
Thladiantha nudiflora,Thladiantha nudiflora Hemsl. ex F.B.Forbes & Hemsl.,Cucurbitaceae
Thladiantha punctata,Thladiantha punctata Hayata,Cucurbitaceae
Momordica cochinchinensis,Momordica cochinchinensis Spreng.,Cucurbitaceae
Sterculia urens,Sterculia urens Roxb.,Malvaceae
Boswellia serrata,Boswellia serrata Roxb.,Burseraceae
Salvia brachyodon,Salvia brachyodon Vandas,Lamiaceae
Epimedium diphyllum subsp. diphyllum,Epimedium diphyllum subsp. diphyllum ,Berberidaceae
Epimedium trifoliatobinatum subsp. trifoliatobinatum,Epimedium trifoliatobinatum Koidz.,NA
Epimedium grandiflorum,Epimedium grandiflorum C.Morren,Berberidaceae
Epimedium sempervirens,Epimedium sempervirens Nakai ex F.Maek.,Berberidaceae
Isodon umbrosus var. leucanthus,Isodon umbrosus var. leucanthus (Murata) K.Asano,Lamiaceae
Isodon effusus,Isodon effusus (Maxim.) H.Hara,Lamiaceae
Scleranthus perennis,Scleranthus perennis L.,Caryophyllaceae
Scaevola taccada,Scaevola taccada (Gaertn.) Roxb.,Goodeniaceae
Scaevola plumieri,Scaevola plumieri (L.) Vahl,Goodeniaceae
Thelymitra ixioides,Thelymitra ixioides Sw.,Orchidaceae
Thelymitra circumsepta,Thelymitra circumsepta Fitzg.,Orchidaceae
Bletilla striata,Bletilla striata (Thunb.) Rchb.f.,Orchidaceae
Cypripedium macranthos,Cypripedium macranthos Sw.,Orchidaceae
Physalis viscosa var. cinerascens,Physalis viscosa var. cinerascens (Dunal) Waterf.,Solanaceae
Physalis heterophylla,Physalis heterophylla Colla,Solanaceae
Physalis pumila,Physalis pumila Nutt.,Solanaceae
Physalis longifolia,Physalis longifolia Nutt.,Solanaceae
Oberonia japonica,Oberonia japonica (Maxim.) Makino,Orchidaceae
Isodon umbrosus,Isodon umbrosus (Maxim.) H.Hara,Lamiaceae
Melampyrum roseum,Melampyrum roseum Maxim.,Orobanchaceae
Encephalartos friderici-guilielmi,Encephalartos friderici-guilielmi Lehm.,Zamiaceae
Encephalartos natalensis,Encephalartos natalensis R.A.Dyer & I.Verd.,Zamiaceae
Menyanthes trifoliata,Menyanthes trifoliata L.,Menyanthaceae
Drosera toyoakensis,Drosera × tokaiensis (Komiya & C.Shibata) T.Nakam. & K.Ueda,Droseraceae
Tricyrtis latifolia,Tricyrtis latifolia Maxim.,Liliaceae
Tricyrtis flava,Tricyrtis flava Maxim.,Liliaceae
Tricyrtis nana,Tricyrtis nana Yatabe,Liliaceae
Tricyrtis ohsumiensis,Tricyrtis ohsumiensis Masam.,Liliaceae
Petrosavia sakuraii,Petrosavia sakuraii (Makino) J.J.Sm. ex Steenis,Petrosaviaceae
Alpinia nieuwenhuizii,Alpinia nieuwenhuizii Valeton,Zingiberaceae
Alocasia alba,Alocasia alba Schott,Araceae
Leucocasia gigantea,Leucocasia gigantea (Blume) Schott,Araceae
Alocasia scabriuscula,Alocasia scabriuscula N.E.Br.,Araceae
Codonopsis lanceolata,Codonopsis lanceolata (Siebold & Zucc.) Benth. & Hook.f. ex Trautv.,Campanulaceae
Fritillaria koidzumiana,Fritillaria koidzumiana Ohwi,Liliaceae
Taraxacum japonicum,Taraxacum japonicum Koidz.,Asteraceae
Steudnera colocasiifolia,Steudnera colocasiifolia K.Koch,Araceae
Silene stockenii,Silene stockenii Chater,Caryophyllaceae
Cistus libanotis,Cistus libanotis L.,Cistaceae
Cistus ladanifer,Cistus ladanifer L.,Cistaceae
Bulbophyllum vinaceum,Bulbophyllum vinaceum Ames & C.Schweinf.,Orchidaceae
Bulbophyllum apertum,Bulbophyllum apertum Schltr.,Orchidaceae
Bulbophyllum cheiri,Bulbophyllum cheiri Lindl.,Orchidaceae
Butea monosperma,Butea monosperma (Lam.) Kuntze,Fabaceae
Aquilegia incurvata,Aquilegia incurvata P.K.Hsiao,Ranunculaceae
Aquilegia yabeana,Aquilegia yabeana Kitag.,Ranunculaceae
Monochoria korsakowii,Monochoria korsakowii Regel & Maack,Pontederiaceae
Monochoria vaginalis,Monochoria vaginalis C.Presl,Pontederiaceae
Pedicularis cyathophylla,Pedicularis cyathophylla Franch.,Orobanchaceae
Pedicularis davidii,Pedicularis davidii Franch.,Orobanchaceae
Pedicularis rex subsp. lipskyana,Pedicularis rex subsp. lipskyana (Bonati) P.C.Tsoong,Orobanchaceae
Pedicularis streptorhyncha,Pedicularis streptorhyncha P.C.Tsoong,Orobanchaceae
Pedicularis torta,Pedicularis torta Maxim.,Orobanchaceae
Pedicularis szetschuanica,Pedicularis szetschuanica Maxim.,Orobanchaceae
Pedicularis stenocorys,Pedicularis stenocorys Franch.,Orobanchaceae
Pedicularis muscoides subsp. himalayca,Pedicularis muscoides subsp. himalayca T.Yamaz.,Orobanchaceae
Astragalus phoenix,Astragalus phoenix Barneby,Fabaceae
Satyrium nepalense var. ciliatum,Satyrium nepalense var. ciliatum (Lindl.) Hook.f.,Orchidaceae
Habenaria limprichtii,Habenaria limprichtii Schltr.,Orchidaceae
Sterculia chicha,Sterculia chicha A.St.-Hil.,Malvaceae
community-wide study,Communis ,NA
Brachiaria ruziziensis,Brachiaria ruziziensis R.Germ. & C.M.Evrard,Poaceae
Pennisetum pedicellatum,Pennisetum pedicellatum Trin.,Poaceae
Sorghum bicolor,Sorghum bicolor (L.) Moench,Poaceae
Zea mays,Zea mays L.,Poaceae
Coreopsis sp.,Coreopsis L.,Asteraceae
Aspilia africana,Aspilia africana (Pers.) C.D.Adams,Asteraceae
Aspilia rudis,Aspilia rudis Oliv. & Hiern,Asteraceae
Vernonia tenoreana,Vernonia tenoreana Oliv.,Asteraceae
Ludovia lancifolia,Ludovia lancaefolia Brongn.,Cyclanthaceae
Asplundia heteranthera,Asplundia heteranthera Harling,Cyclanthaceae
Uebelmannia buiningii,Uebelmannia buiningii Donald,Cactaceae
Chamaecrista ramosa var. ramosa,Chamaecrista ramosa var. ramosa ,Fabaceae
Pterolepis glomerata,Pterolepis glomerata (Rottb.) Miq.,Melastomataceae
Penstemon haydenii,Penstemon haydenii S.Watson ex J.M.Coult.,Plantaginaceae
Penstemon caryi,Penstemon caryi Pennell,Plantaginaceae
Physaria obcordata,Physaria obcordata Rollins,Brassicaceae
Sclerocactus wetlandicus,Sclerocactus wetlandicus Hochstätter,Cactaceae
Sclerocactus brevispinus,Sclerocactus brevispinus K.D.Heil & J.M.Porter,Cactaceae
Sclerocactus wetlandicus-var1,Sclerocactus Britton & Rose,Cactaceae
Penstemon penlandii,Penstemon penlandii W.A.Weber,Plantaginaceae
Micropholis guyanensis,Micropholis guyanensis Pierre,Sapotaceae
Pagamea duckei,Pagamea duckei Standl.,Rubiaceae
Macrozamia communis,Macrozamia communis L.A.S.Johnson,Zamiaceae
Macrozamia platyrhachis,Macrozamia platyrhachis F.M.Bailey,Zamiaceae
Drosera makinoi,Drosera makinoi Masam.,Droseraceae
Eurya emarginata,Eurya emarginata (Thunb.) Makino,Pentaphylacaceae
Bulbophyllum baileyi,Bulbophyllum baileyi F.Muell.,Orchidaceae
Habenaria dentata,Habenaria dentata (Sw.) Schltr.,Orchidaceae
Pedicularis rex subsp. rex,Pedicularis rex subsp. rex ,Orobanchaceae
Impatiens macrovexilla,Impatiens macrovexilla Y.L.Chen,Balsaminaceae
Spondias macrocarpa,Spondias macrocarpa Engl.,Anacardiaceae
Macrozamia lucida,Macrozamia lucida L.A.S.Johnson,Zamiaceae
Physaria globosa,Physaria globosa (Desv.) O'Kane & Al-Shehbaz,Brassicaceae
Vigna longifolia,Vigna longifolia (Benth.) Verdc.,Fabaceae
Pterostylis oliveri,Pterostylis oliveri Petrie,Orchidaceae
Pterostylis irsoniana,Pterostylis irsoniana Hatch,Orchidaceae
Pterostylis venosa,Pterostylis venosa Colenso,Orchidaceae
Banksia nivea subsp. uliginosa,Banksia nivea subsp. uliginosa (A.S.George) A.R.Mast & K.R.Thiele,Proteaceae
Multiple Cucurbitaceae species (20 varieties),NA,NA
Cirsium arvense,Cirsium arvense (L.) Scop.,Asteraceae
Cirsium repandum,Cirsium repandum Michx.,Asteraceae
Asclepias verticillata,Asclepias verticillata L.,Apocynaceae
Erythronium montanum,Erythronium montanum S.Watson,Liliaceae
Marcgravia longifolia,Marcgravia longifolia J.F.Macbr.,Marcgraviaceae
Byrsonima crispa,Byrsonima crispa A.Juss.,Malpighiaceae
Tetrapterys sp.,Tetrapterys Cav.,Malpighiaceae
Dussia sp.,Dussia Krug & Urb. ex Taub.,Fabaceae
Genipa americana,Genipa americana L.,Rubiaceae
Vochysia guatemalensis,Vochysia guatemalensis Donn.Sm.,Vochysiaceae
Vochysia ferruginea,Vochysia ferruginea Mart.,Vochysiaceae
Apeiba membranacea,Apeiba membranacea Spruce ex Benth.,Malvaceae
Alisma plantago-aquatica,Alisma plantago-aquatica L.,Alismataceae
Lithophragma campanulatum,Lithophragma campanulatum Howell,Saxifragaceae
Aralia hispida,Aralia hispida Vent.,Araliaceae
Impatiens reptans,Impatiens reptans Hook.f.,Balsaminaceae
Ranunculus japonicus,Ranunculus japonicus Thunb.,Ranunculaceae
Halerpestes ruthenica,Halerpestes ruthenica (Jacq.) Ovcz.,Ranunculaceae
Batrachium bungei,Batrachium bungei (Steud.) L.Liu,Ranunculaceae
Felicia australis,Felicia australis (Alston) E.Phillips,Asteraceae
Zygophyllum foetidum,Zygophyllum foetidum Schrad. & J.C.Wendl.,Zygophyllaceae
Rhynchopsidium pumilum,Rhynchopsidium pumilum DC.,Asteraceae
Diascia spec.,Diascia Link & Otto,Scrophulariaceae
Galenia sarcophylla,Galenia sarcophylla Fenzl ex Sond.,Aizoaceae
Oxalis pes-caprae,Oxalis pes-caprae L.,Oxalidaceae
Bulbinella latifolia,Bulbinella latifolia Kunth,Asphodelaceae
Dryas drummondi,Dryas drummondii Richardson ex Hook.,Rosaceae
Dryas integrifolia,Dryas integrifolia C.A.Mey. ex Juz.,NA
Colocasia oresbia,Colocasia oresbia A.Hay,Araceae
Callistemon rigidus,Callistemon rigidus R.Br.,Myrtaceae
Trichocline reptans,Trichocline reptans Hieron.,Asteraceae
Dyckia longipetala,Dyckia longipetala Baker,Bromeliaceae
Antirrhinum microphyllum,Antirrhinum microphyllum Rothm.,Plantaginaceae
Bouvardia ternifolia,Bouvardia ternifolia (Cav.) Schltdl.,Rubiaceae
Xyris spp.,Xyris Gronov. ex L.,Xyridaceae
Chaetanthera apiculata,Chaetanthera apiculata (J.Rémy) F.Meigen,Asteraceae
Chaetanthera lycopodioides,Chaetanthera lycopodioides (J.Rémy) Cabrera ex Moreau,NA
Chaetanthera renifolia,Chaetanthera renifolia (J.Rémy) Cabrera,Asteraceae
Cimicifuga simplex,Cimicifuga simplex Wormsk. ex DC.,Ranunculaceae
Lindera triloba,Lindera triloba (Siebold & Zucc.) Blume,Lauraceae
Fritillaria maximowiczii,Fritillaria maximowiczii Freyn,Liliaceae
Macrozamia miquelii,Macrozamia miquelii A.DC.,Zamiaceae
Frasera caroliniensis,Frasera caroliniensis Walter,Gentianaceae
Caryopteris divaricata,Caryopteris divaricata Maxim.,Lamiaceae
Clematis flammula,Clematis flammula L.,Ranunculaceae
Clematis cirrhosa,Clematis cirrhosa L.,Ranunculaceae
Bruguiera exaristata,Bruguiera exaristata Ding Hou,Rhizophoraceae
Bruguiera gymnorrhiza,Bruguiera gymnorhiza (L.) Lam. ex Savigny,Rhizophoraceae
Rhizophora stylosa,Rhizophora stylosa Griff.,Rhizophoraceae
Ceriops tagal,Ceriops tagal (Perr.) C.B.Rob.,Rhizophoraceae
Datura ferox,Datura ferox Nees,Solanaceae
Sabatia kennedyana,Sabatia kennedyana Fernald,Gentianaceae
Tristerix verticillatus,Tristerix verticillatus (Ruiz & Pav.) Barlow & Wiens,Loranthaceae
Ilex asprella,Ilex asprella Champ. ex Benth.,Aquifoliaceae
Weberocereus tunilla,Weberocereus tunilla (F.A.C.Weber) Britton & Rose,Cactaceae
Weberocereus trichophorus,Weberocereus trichophorus H.Johnson & Kimnach,Cactaceae
Weberocereus biolleyi,Weberocereus biolleyi (F.A.C.Weber) Britton & Rose,Cactaceae
Crataeva palmeri,Crateva palmeri Rose,Capparaceae
Helicteres baruensis,Helicteres baruensis Jacq.,Malvaceae
Werauhia gladioliflora,Werauhia gladioliflora (H.Wendl.) J.R.Grant,Bromeliaceae
Glaucium flavum,Glaucium flavum Crantz,Papaveraceae
Solanum elaeagnifolium,Solanum elaeagnifolium Herb.Willdenow ex Steud.,Solanaceae
Crataegus monogyna,Crataegus monogyna auct.,NA
Crataegus mexicana,Crataegus mexicana D.Don,NA
Honkenya peploides var. major,NA,NA
Trifolium alexandrinum,Trifolium alexandrinum sensu auct.,Fabaceae
Erica hanekomii,Erica hanekomii E.G.H.Oliv.,Ericaceae
Scopolia carniolica,Scopolia carniolica Jacq.,Solanaceae
Argyreia cuneata,Argyreia cuneata Ker Gawl.,Convolvulaceae
Argyreia nervosa,Argyreia nervosa (Burm.f.) Bojer,Convolvulaceae
Lablab purpureus,Lablab purpureus (L.) Sweet,Fabaceae
Ocimum basilicum,Ocimum basilicum L.,Lamiaceae
Asystesia sp.,Asystasia Blume,Acanthaceae
Cosmos sulphureus,Cosmos sulphureus Cav.,Asteraceae
Arum cyrenaicum,Arum cyrenaicum Hruby,Araceae
Arum concinnatum,Arum concinnatum Schott,Araceae
Ranunculus acris,Ranunculus acris L.,Ranunculaceae
Amianthium muscaetoxicum,Amianthium muscaetoxicum (Walter) A.Gray,Melanthiaceae
Nephelium lappaceum var. lappaceum,Nephelium lappaceum var. lappaceum ,NA
Calylophus berlandieri,Calylophus berlandieri Spach,Onagraceae
Calylophus hartweegii subsp. pubescens,Calylophus hartwegii var. pubescens (A.Gray) Shinners,Onagraceae
Aristolochia argentina,Aristolochia argentina Griseb.,Aristolochiaceae
Marcgravia pittieri,Marcgravia pittieri Gilg,Marcgraviaceae
Hyobanche sanguinea,Hyobanche sanguinea L.,Orobanchaceae
Lachenalia luteola,Lachenalia luteola Jacq.,Asparagaceae
Erica halicacaba,Erica halicacaba L.,Ericaceae
Erica mammosa YS variant,Erica mammosa L.,Ericaceae
Erica mammosa PR variant,Erica mammosa L.,Ericaceae
Nama hispidum,Nama hispida A.Gray,Boraginaceae
Nama stevensii,Nama stevensii C.L.Hitchc.,Boraginaceae
Calystegia soldanella,Calystegia soldanella (L.) Roem. & Schult.,NA
Calystegia hederacea,Calystegia hederacea Wall.,Convolvulaceae
Calystegia japonica,Calystegia japonica Choisy,Convolvulaceae
Calystegia sepium,Calystegia sepium (L.) R.Br.,Convolvulaceae
Commelina communis,Commelina communis Engelm. ex Kunth,Commelinaceae
Trichosanthes cucumeroides,Trichosanthes cucumeroides Maxim.,Cucurbitaceae
Disporum sessile,Disporum sessile D.Don ex Schult. & Schult.f.,Colchicaceae
Disporum smilacinum,Disporum smilacinum A.Gray,Colchicaceae
Aconitum lycoctonum,Aconitum lycoctonum L.,Ranunculaceae
Rhynchanthera brachyrhyncha,Rhynchanthera brachyrhyncha Cham.,Melastomataceae
Sideritis scardica,Sideritis scardica Griseb.,Lamiaceae
Bomarea salsilla,Bomarea salsilla (L.) Mirb.,Alstroemeriaceae
Aristolochia chilensis,Aristolochia chilensis Miers,NA
Zamia incognita,Zamia incognita A.Lindstr. & Idarraga,Zamiaceae
Adenostemma brasilianum,Adenostemma brasilianum Cass.,Asteraceae
Bidens segetum,Bidens segetum Mart. ex Colla,Asteraceae
Grazielia intermedia,Grazielia intermedia (DC.) R.M.King & H.Rob.,Asteraceae
Echium decaisnei,Echium decaisnei Webb & Berthel.,Boraginaceae
Echium virescens,Echium virescens DC.,Boraginaceae
Echium wildpretii wildpretii,Echium wildpretii subsp. trichosiphon (Svent.) Bramwell,Boraginaceae
Aeonium arboreum,Aeonium arboreum Webb & Berthel.,Crassulaceae
Lavatera phoenicea,Lavatera phoenicea Vent.,Malvaceae
Isoplexis chalcantha,Isoplexis chalcantha Svent. & O'Shan.,Plantaginaceae
Isoplexis isabelliana,Isoplexis isabelliana (Webb) Mansf.,Plantaginaceae
Isoplexis sceptrum,Isoplexis sceptrum (L.f.) Steud.,Plantaginaceae
Echium wildpretii,Echium wildpretii H.Pearson ex Hook.f.,Boraginaceae
Spartocytisus supranubius,Spartocytisus supranubius (L.f.) Christ,Fabaceae
Scrophularia glabrata,Scrophularia glabrata Spreng.,Scrophulariaceae
Erysimum scoparium,Erysimum scoparium (Brouss. ex Willd.) Wettst.,Brassicaceae
Adenocarpus viscosus,Adenocarpus viscosus (Willd.) Webb & Berthel.,Fabaceae
Neobuxbaumia mezcalaensis,Neobuxbaumia mezcalaensis (Bravo) Backeb.,Cactaceae
Neobuxbaumia macrocephala,Neobuxbaumia macrocephala (F.A.C.Weber ex K.Schum.) E.Y.Dawson,Cactaceae
Sagittaria latifolia,Sagittaria latifolia Willd.,Alismataceae
Petunia x hybrida,Petunia acuminata Graham,Solanaceae
Anigozanthos humilis subsp. humilis,Anigozanthos humilis subsp. humilis Lindl.,Haemodoraceae
Satyrium acuminatum,Satyrium acuminatum Lindl.,Orchidaceae
Satyrium outeniquense,Satyrium outeniquense Schltr.,Orchidaceae
Satyrium pallens,Satyrium pallens S.D.Johnson & Kurzweil,Orchidaceae
Satyrium situsanguinum,Satyrium situsanguinum van der Niet & Liltved,Orchidaceae
Satyrium stenopetalum ssp. stenopetalum,Satyrium stenopetalum subsp. stenopetalum ,Orchidaceae
Erica infundibuliformis,Erica infundibuliformis Andrews,Ericaceae
Satyrium rhodanthum,Satyrium rhodanthum Schltr.,Orchidaceae
Platanthera dilatata,Platanthera dilatata (Pursh) Lindl. ex L.C.Beck,Orchidaceae
Geranium maculatum,Geranium maculatum L.,Geraniaceae
Hesperantha vaginata,Hesperantha vaginata (Sweet) Goldblatt,Iridaceae
Romulea monadelpha,Romulea monadelpha (Sweet ex Steud.) Baker,Iridaceae
Sparaxis elegans,Sparaxis elegans (Sweet) Goldblatt,Iridaceae
mixed field margin strips,NA,NA
Thalassia testudinum,Thalassia testudinum Banks & Sol. ex K.D.Koenig,Hydrocharitaceae
Syringodium filiforme,Syringodium filiforme Kütz.,Cymodoceaceae
Halodule wrightii,Halodule wrightii Asch.,Cymodoceaceae
Xerophyllum tenax,Xerophyllum tenax (Pursh) Nutt.,Melanthiaceae
Senecio inaequidens,Senecio inaequidens DC.,Asteraceae
Jacobaea vulgaris,Jacobaea vulgaris Gaertn.,Asteraceae
Passiflora galbana,Passiflora galbana Mast.,Passifloraceae
Passiflora speciosa,Passiflora speciosa Gardner,Passifloraceae
Passiflora actinia,Passiflora actinia Hook.,Passifloraceae
Antirrhinum australe,Antirrhinum australe Rothm.,Plantaginaceae
Antirrhinum barrelieri,Antirrhinum barrelieri Boreau,Plantaginaceae
Antirrhinum braun-blanquetii,Antirrhinum braun-blanquetii Rothm.,Plantaginaceae
Antirrhinum charidemi,Antirrhinum charidemi Lange,Plantaginaceae
Antirrhinum graniticum,Antirrhinum graniticum Rothm.,Plantaginaceae
Antirrhinum grosii,Antirrhinum grosii Font Quer,Plantaginaceae
Antirrhinum hispanicum,Antirrhinum hispanicum Chav.,Plantaginaceae
Antirrhinum latifolium,Antirrhinum latifolium Mill.,Plantaginaceae
Antirrhinum lopesianum,Antirrhinum lopesianum Rothm.,Plantaginaceae
Antirrhinum meonanthum,Antirrhinum meonanthum Hoffmanns. & Link,Plantaginaceae
Antirrhinum molle,Antirrhinum molle L.,Plantaginaceae
Antirrhinum mollissimum,Antirrhinum mollissimum (Pau) Rothm.,Plantaginaceae
Antirrhinum pertegasii,Antirrhinum pertegasii Rothm.,Plantaginaceae
Antirrhinum pulverulentum,Antirrhinum pulverulentum Lázaro Ibiza,Plantaginaceae
Antirrhinum sempervirens,Antirrhinum sempervirens Lapeyr.,Plantaginaceae
Piper caldense,Piper caldense C.DC.,Piperaceae
Colchicum tuviae,Colchicum tuviae Feinbrun,Colchicaceae
Colchicum ritchii,Colchicum ritchii var. guessfeldtianum (Asch. & Schweinf.) Stef.,Colchicaceae
Banksia spinulosa var. neanglica,Banksia spinulosa var. neoanglica A.S.George,Proteaceae
Banksia spinulosa var. neoanglia,Banksia spinulosa var. neoanglica A.S.George,Proteaceae
Grevillea barklyana subsp. macleayana,Grevillea barklyana subsp. macleayana McGill.,Proteaceae
Wurmbea dioica subsp. dioica,Wurmbea dioica subsp. dioica ,Colchicaceae
Bulbine vagans,Bulbine vagans E.M.Watson,Asphodelaceae
Miconia cataractae,Miconia cataractae Triana,Melastomataceae
Miconia elaeoides,Miconia elaeoides Naudin,Melastomataceae
Tolumnia guibertiana,Tolumnia guibertiana (A.Rich.) Braem,Orchidaceae
Stigmaphyllon diversifolium,Stigmaphyllon diversifolium A.Juss.,Malpighiaceae
Ouratea agrophylla,Ouratea agrophylla Urb.,Ochnaceae
